No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3213;PPP3CA;9.21E-05;#N/A
3214;ABLIM1;9.21E-05;#N/A
3215;IBTK;9.21E-05;#N/A
3216;FXR1;9.21E-05;#N/A
3217;BRIX1;9.20E-05;#N/A
3218;ELMO1;9.20E-05;#N/A
3219;LIMK2;9.20E-05;#N/A
3220;NDUFAF1;9.20E-05;#N/A
3221;DOK4;9.20E-05;#N/A
3222;HAUS2;9.20E-05;#N/A
3223;PLXNA3;9.19E-05;#N/A
3224;SLX4;9.18E-05;x
3225;MAP7D1;9.18E-05;#N/A
3226;NFATC2;9.18E-05;#N/A
3227;HPR;9.18E-05;#N/A
3228;PEX14;9.18E-05;#N/A
3229;ASXL2;9.18E-05;x
3230;UQCRC1;9.17E-05;#N/A
3231;EHMT1;9.17E-05;#N/A
3232;PEG10;9.17E-05;#N/A
3233;N4BP3;9.17E-05;#N/A
3234;USP33;9.16E-05;#N/A
3235;RFC3;9.16E-05;#N/A
3236;EIF2B4;9.16E-05;#N/A
3237;FAM189B;9.15E-05;#N/A
3238;PFDN5;9.15E-05;#N/A
3239;OIP5;9.15E-05;#N/A
3240;DCP2;9.15E-05;#N/A
3241;OAZ1;9.15E-05;#N/A
3242;FCGR1A;9.15E-05;#N/A
3243;CLTCL1;9.13E-05;#N/A
3244;SHARPIN;9.13E-05;#N/A
3245;PPP4R3A;9.13E-05;#N/A
3246;TM2D3;9.13E-05;#N/A
3247;DGKZ;9.13E-05;#N/A
3248;ZRANB1;9.13E-05;#N/A
3249;CEP63;9.12E-05;#N/A
3250;RAD1;9.11E-05;#N/A
3251;ZNF687;9.11E-05;#N/A
3252;FAM83H;9.10E-05;#N/A
3253;CDK20;9.10E-05;#N/A
3254;LRP8;9.09E-05;#N/A
3255;ZNF526;9.09E-05;#N/A
3256;ATG7;9.09E-05;#N/A
3257;MBD1;9.09E-05;#N/A
3258;RPL29;9.08E-05;#N/A
3259;PAIP1;9.08E-05;#N/A
3260;ATF6;9.08E-05;#N/A
3261;DDI1;9.08E-05;#N/A
3262;ZYX;9.08E-05;#N/A
3263;MTIF2;9.07E-05;#N/A
3264;WIF1;9.07E-05;x
3265;PKN1;9.07E-05;#N/A
3266;PIM1;9.07E-05;#N/A
3267;BOLA2;9.06E-05;#N/A
3268;MYH11;9.06E-05;x
3269;ITGAV;9.06E-05;#N/A
3270;RBM26;9.06E-05;#N/A
3271;ETV6;9.05E-05;x
3272;CHRNB2;9.05E-05;#N/A
3273;AKT2;9.05E-05;x
3274;PDHB;9.05E-05;#N/A
3275;FGF7;9.04E-05;x
3276;FGFR3;9.04E-05;x
3277;PDIA6;9.04E-05;#N/A
3278;CLIC2;9.04E-05;#N/A
3279;TRIM26;9.03E-05;#N/A
3280;CALU;9.03E-05;#N/A
3281;CA8;9.03E-05;#N/A
3282;DYNLT1;9.03E-05;#N/A
3283;TTC1;9.03E-05;#N/A
3284;ITGA6;9.03E-05;#N/A
3285;TFE3;9.03E-05;x
