No.;Gene name;Score;Oncogene or Tumor Suppresson gene
11075;UBIAD1;6.25E-07;#N/A
11076;VPS39;6.24E-07;#N/A
11077;ZDHHC23;6.24E-07;#N/A
11078;RIC8B;6.22E-07;#N/A
11079;METTL21A;6.22E-07;#N/A
11080;ODR4;6.22E-07;#N/A
11081;EPS8L2;6.21E-07;#N/A
11082;MYCBPAP;6.21E-07;#N/A
11083;NCDN;6.19E-07;#N/A
11084;DDX51;6.19E-07;#N/A
11085;RTN4RL2;6.19E-07;#N/A
11086;KIR2DS5;6.17E-07;#N/A
11087;TSPAN6;6.16E-07;#N/A
11088;DCUN1D2;6.15E-07;#N/A
11089;GSKIP;6.13E-07;#N/A
11090;ABHD10;6.13E-07;#N/A
11091;RCBTB1;6.13E-07;#N/A
11092;PRR13;6.13E-07;#N/A
11093;PLEKHM1;6.13E-07;#N/A
11094;LGALSL;6.11E-07;#N/A
11095;MAN2B2;6.11E-07;#N/A
11096;DMTN;6.10E-07;#N/A
11097;GPD1L;6.10E-07;#N/A
11098;TNFAIP8L1;6.09E-07;#N/A
11099;GPR89A;6.08E-07;#N/A
11100;RIMBP3;6.08E-07;#N/A
11101;EIF4EBP3;6.07E-07;#N/A
11102;FBXL2;6.07E-07;#N/A
11103;TANC2;6.07E-07;#N/A
11104;PNRC1;6.07E-07;#N/A
11105;FUNDC1;6.07E-07;#N/A
11106;CRIP2;6.06E-07;#N/A
11107;NT5DC2;6.06E-07;#N/A
11108;SNX22;6.05E-07;#N/A
11109;GGNBP2;6.05E-07;#N/A
11110;SCAP;6.04E-07;#N/A
11111;BTN3A3;6.03E-07;#N/A
11112;TMTC3;6.03E-07;#N/A
11113;SURF6;6.01E-07;#N/A
11114;UBE2H;6.00E-07;#N/A
11115;TUSC1;5.99E-07;#N/A
11116;GJA3;5.97E-07;#N/A
11117;UBE2Q1;5.96E-07;#N/A
11118;MTHFSD;5.96E-07;#N/A
11119;NOM1;5.94E-07;#N/A
11120;DUSP12;5.92E-07;#N/A
11121;MRPL57;5.91E-07;#N/A
11122;SLC25A19;5.91E-07;#N/A
11123;ZDHHC3;5.90E-07;#N/A
11124;NOB1;5.89E-07;#N/A
11125;PHETA1;5.87E-07;#N/A
11126;MT1H;5.86E-07;#N/A
11127;RAB27B;5.86E-07;#N/A
11128;MRPL35;5.85E-07;#N/A
11129;ERAP1;5.85E-07;#N/A
11130;KLHL21;5.83E-07;#N/A
11131;DNASE1L1;5.83E-07;#N/A
11132;BCHE;5.81E-07;#N/A
11133;CLEC4G;5.81E-07;#N/A
11134;LMAN2L;5.79E-07;#N/A
11135;REXO1;5.79E-07;#N/A
11136;RRP36;5.77E-07;#N/A
11137;GSTCD;5.77E-07;#N/A
11138;KIF17;5.76E-07;#N/A
11139;DDX10;5.74E-07;#N/A
11140;SPRY4;5.73E-07;#N/A
11141;ARL4D;5.73E-07;#N/A
11142;NAGPA;5.71E-07;#N/A
11143;SECISBP2L;5.71E-07;#N/A
11144;WDR7;5.71E-07;#N/A
11145;KCTD9;5.71E-07;#N/A
11146;SPATS2;5.70E-07;#N/A
11147;SAMD4A;5.69E-07;#N/A
11148;ISG20L2;5.69E-07;#N/A
11149;ASB13;5.69E-07;#N/A
11150;NPC1;5.69E-07;#N/A
11151;ARSG;5.69E-07;#N/A
11152;TYW1B;5.69E-07;#N/A
11153;AP1AR;5.69E-07;#N/A
11154;SUMF1;5.68E-07;#N/A
11155;RABIF;5.68E-07;#N/A
11156;PANK4;5.66E-07;#N/A
11157;NECAP1;5.65E-07;#N/A
11158;MARF1;5.64E-07;#N/A
11159;MARVELD2;5.64E-07;#N/A
11160;SEPTIN14;5.64E-07;#N/A
11161;RHBDD3;5.63E-07;#N/A
11162;CDKL3;5.63E-07;#N/A
11163;RNF103;5.63E-07;#N/A
11164;LY6G6F;5.61E-07;#N/A
11165;C6orf226;5.60E-07;#N/A
11166;PEX26;5.59E-07;#N/A
11167;SLC7A3;5.58E-07;#N/A
11168;TBL2;5.56E-07;#N/A
11169;GTPBP6;5.55E-07;#N/A
11170;FRA10AC1;5.52E-07;#N/A
11171;XPNPEP1;5.52E-07;#N/A
11172;KRI1;5.50E-07;#N/A
11173;KCNN4;5.48E-07;#N/A
11174;ALOXE3;5.48E-07;#N/A
11175;MYBPHL;5.48E-07;#N/A
11176;OSBP2;5.44E-07;#N/A
11177;CRELD1;5.44E-07;#N/A
11178;CALB2;5.44E-07;#N/A
11179;C3orf20;5.43E-07;#N/A
11180;SLC25A24;5.42E-07;#N/A
11181;CTRL;5.42E-07;#N/A
11182;C1orf216;5.39E-07;#N/A
11183;AFTPH;5.38E-07;#N/A
11184;SCFD2;5.38E-07;#N/A
11185;VAT1;5.36E-07;#N/A
11186;TPGS2;5.36E-07;#N/A
11187;TMEM109;5.35E-07;#N/A
11188;NLGN4X;5.35E-07;#N/A
11189;CYB5R3;5.35E-07;#N/A
11190;TBCB;5.34E-07;#N/A
11191;KCND3;5.32E-07;#N/A
11192;CPNE2;5.31E-07;#N/A
11193;KLHL36;5.31E-07;#N/A
11194;CRNN;5.27E-07;#N/A
11195;CPPED1;5.27E-07;#N/A
11196;NPNT;5.26E-07;#N/A
11197;ATPAF1;5.26E-07;#N/A
11198;GM2A;5.25E-07;#N/A
11199;DNAJC30;5.25E-07;#N/A
11200;CFHR5;5.24E-07;#N/A
11201;ARV1;5.22E-07;#N/A
11202;TSR2;5.21E-07;#N/A
11203;CRYGD;5.21E-07;#N/A
11204;TEFM;5.20E-07;#N/A
11205;DDX31;5.19E-07;#N/A
11206;PPP1R26;5.19E-07;#N/A
11207;TMEM164;5.19E-07;#N/A
11208;TTC21A;5.18E-07;#N/A
11209;GRID1;5.17E-07;#N/A
11210;ABCA7;5.17E-07;#N/A
11211;C10orf67;5.17E-07;#N/A
11212;SEL1L3;5.17E-07;#N/A
11213;SAG;5.16E-07;#N/A
11214;CEP19;5.16E-07;#N/A
11215;ZCCHC3;5.16E-07;#N/A
11216;FAM168B;5.16E-07;#N/A
11217;JAKMIP1;5.15E-07;#N/A
11218;SH2D3A;5.12E-07;#N/A
11219;RBM19;5.10E-07;#N/A
11220;ABHD11;5.09E-07;#N/A
11221;CCDC24;5.09E-07;#N/A
11222;MRPL33;5.09E-07;#N/A
11223;BMP3;5.07E-07;#N/A
11224;DOC2A;5.07E-07;#N/A
11225;LCN15;5.06E-07;#N/A
11226;ANGEL1;5.06E-07;#N/A
11227;SEC11C;5.05E-07;#N/A
11228;NMRAL1;5.04E-07;#N/A
11229;NSG1;5.04E-07;#N/A
11230;HBG1;5.02E-07;#N/A
11231;WSB2;5.01E-07;#N/A
11232;TYW1;5.01E-07;#N/A
11233;NXN;5.00E-07;#N/A
11234;DNAJC1;4.99E-07;#N/A
11235;AKIP1;4.98E-07;#N/A
11236;ASPHD2;4.96E-07;#N/A
11237;TRIM4;4.95E-07;#N/A
11238;ATCAY;4.93E-07;#N/A
11239;FAM162A;4.92E-07;#N/A
11240;FAM110A;4.92E-07;#N/A
11241;CCDC71L;4.92E-07;#N/A
11242;LARP4B;4.92E-07;#N/A
11243;FBXL16;4.91E-07;#N/A
11244;MCTS1;4.91E-07;#N/A
11245;ANGPTL5;4.91E-07;#N/A
11246;FBXL12;4.91E-07;#N/A
11247;CCNI2;4.90E-07;#N/A
11248;REEP3;4.90E-07;#N/A
11249;CDRT15;4.89E-07;#N/A
11250;TMEM185B;4.89E-07;#N/A
11251;CFHR4;4.88E-07;#N/A
11252;CFHR3;4.88E-07;#N/A
11253;EGFL6;4.88E-07;#N/A
11254;ACAD10;4.87E-07;#N/A
11255;PCMTD2;4.87E-07;#N/A
11256;VPS54;4.86E-07;#N/A
11257;PROSER1;4.85E-07;#N/A
11258;GCHFR;4.85E-07;#N/A
11259;PKIA;4.84E-07;#N/A
11260;MTFP1;4.83E-07;#N/A
11261;NAA20;4.81E-07;#N/A
11262;GPRC5C;4.79E-07;#N/A
11263;SEC22A;4.78E-07;#N/A
11264;YRDC;4.78E-07;#N/A
11265;NFU1;4.78E-07;#N/A
11266;KIR2DL1;4.77E-07;#N/A
11267;FOCAD;4.77E-07;#N/A
11268;KCNC1;4.75E-07;#N/A
11269;DDX50;4.75E-07;#N/A
11270;SLAIN1;4.74E-07;#N/A
11271;TTC13;4.74E-07;#N/A
11272;FAM171A1;4.74E-07;#N/A
11273;RBM20;4.74E-07;#N/A
11274;IGHMBP2;4.74E-07;#N/A
11275;TARS2;4.73E-07;#N/A
11276;SYT13;4.73E-07;#N/A
11277;MPPED2;4.71E-07;#N/A
11278;AQP3;4.71E-07;#N/A
11279;MLEC;4.71E-07;#N/A
11280;MPHOSPH10;4.70E-07;#N/A
11281;PCDHB10;4.70E-07;#N/A
11282;RABL2B;4.70E-07;#N/A
11283;CCDC86;4.68E-07;#N/A
11284;HTR3A;4.67E-07;#N/A
11285;APOBEC3F;4.67E-07;#N/A
11286;ZFAND5;4.67E-07;#N/A
11287;SFXN4;4.66E-07;#N/A
11288;NUDT3;4.66E-07;#N/A
11289;DPP6;4.66E-07;#N/A
11290;TTC27;4.65E-07;#N/A
11291;TSPAN33;4.62E-07;#N/A
11292;SH3RF3;4.60E-07;#N/A
11293;SCN2A;4.60E-07;#N/A
11294;MICU1;4.58E-07;#N/A
11295;NXNL1;4.58E-07;#N/A
11296;MORC4;4.55E-07;#N/A
11297;GJD3;4.55E-07;#N/A
11298;GJA8;4.55E-07;#N/A
11299;TIMP4;4.55E-07;#N/A
11300;ANKRD13D;4.54E-07;#N/A
11301;SYBU;4.54E-07;#N/A
11302;CCDC138;4.54E-07;#N/A
11303;BCL2L13;4.53E-07;#N/A
11304;OSBPL7;4.53E-07;#N/A
11305;ARL8A;4.53E-07;#N/A
11306;EHD3;4.53E-07;#N/A
11307;SERTAD2;4.53E-07;#N/A
11308;SAR1B;4.50E-07;#N/A
11309;C1orf116;4.49E-07;#N/A
11310;DYNC2LI1;4.49E-07;#N/A
11311;SERP2;4.47E-07;#N/A
11312;LONRF2;4.47E-07;#N/A
11313;UPK3BL1;4.45E-07;#N/A
11314;PDC;4.45E-07;#N/A
11315;TOR2A;4.45E-07;#N/A
11316;FAM104A;4.43E-07;#N/A
11317;LRRTM4;4.42E-07;#N/A
11318;SSX4;4.42E-07;#N/A
11319;VHLL;4.42E-07;#N/A
11320;SLFN12;4.42E-07;#N/A
11321;KRT222;4.42E-07;#N/A
11322;HYLS1;4.42E-07;#N/A
11323;BET1L;4.41E-07;#N/A
11324;LRP11;4.40E-07;#N/A
11325;TMEM39B;4.40E-07;#N/A
11326;VMAC;4.39E-07;#N/A
11327;FBXO34;4.38E-07;#N/A
11328;AIG1;4.37E-07;#N/A
11329;PANX1;4.36E-07;#N/A
