No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3237;FBXW8;9.27E-05;#N/A
3238;SLX4;9.26E-05;x
3239;DHX36;9.26E-05;#N/A
3240;IPO4;9.26E-05;#N/A
3241;PTPN18;9.26E-05;#N/A
3242;DBH;9.26E-05;#N/A
3243;ABCD2;9.26E-05;#N/A
3244;GSTA2;9.26E-05;#N/A
3245;HOMER1;9.25E-05;#N/A
3246;H1-4;9.25E-05;x
3247;NDUFAF3;9.25E-05;#N/A
3248;XPO4;9.25E-05;#N/A
3249;AIP;9.25E-05;x
3250;MED8;9.25E-05;#N/A
3251;B3GALT1;9.25E-05;#N/A
3252;NFATC2;9.24E-05;#N/A
3253;RBM25;9.24E-05;#N/A
3254;SHARPIN;9.24E-05;#N/A
3255;FGFR3;9.24E-05;x
3256;ZW10;9.23E-05;#N/A
3257;LRCH3;9.23E-05;#N/A
3258;BAZ1B;9.23E-05;#N/A
3259;ZNF417;9.22E-05;#N/A
3260;RMND5A;9.22E-05;#N/A
3261;ORC3;9.21E-05;#N/A
3262;RPL9;9.21E-05;#N/A
3263;DEF6;9.21E-05;#N/A
3264;FLT1;9.21E-05;x
3265;TXN;9.20E-05;#N/A
3266;C8B;9.20E-05;#N/A
3267;GTF2IRD1;9.20E-05;#N/A
3268;TFDP3;9.20E-05;#N/A
3269;CAMK2A;9.20E-05;#N/A
3270;RPRD1B;9.19E-05;#N/A
3271;C4BPA;9.19E-05;#N/A
3272;CETN2;9.19E-05;#N/A
3273;DRAP1;9.18E-05;#N/A
3274;EPAS1;9.18E-05;#N/A
3275;FAAP100;9.18E-05;#N/A
3276;CLTCL1;9.17E-05;#N/A
3277;EHMT1;9.17E-05;#N/A
3278;SEPTIN3;9.17E-05;#N/A
3279;CHERP;9.17E-05;#N/A
3280;GPM6B;9.17E-05;#N/A
3281;NIT1;9.17E-05;#N/A
3282;SIX6;9.17E-05;#N/A
3283;PDE6D;9.17E-05;#N/A
3284;ING5;9.16E-05;#N/A
3285;KIF20B;9.15E-05;#N/A
3286;HLA-F;9.15E-05;#N/A
3287;H2BC17;9.15E-05;#N/A
3288;ALDH2;9.15E-05;x
3289;APPL1;9.15E-05;#N/A
3290;APBB2;9.15E-05;#N/A
3291;USH1C;9.15E-05;#N/A
3292;GGA2;9.15E-05;#N/A
3293;TRIM26;9.14E-05;#N/A
3294;WEE1;9.14E-05;#N/A
3295;OTUD5;9.14E-05;#N/A
3296;MALT1;9.14E-05;#N/A
3297;CPVL;9.13E-05;#N/A
3298;TOB1;9.13E-05;#N/A
3299;FXR1;9.13E-05;#N/A
3300;NETO2;9.13E-05;#N/A
3301;SUPT3H;9.12E-05;#N/A
3302;PPHLN1;9.12E-05;#N/A
3303;ENG;9.12E-05;#N/A
3304;TUBGCP3;9.12E-05;#N/A
3305;NDE1;9.12E-05;#N/A
3306;ARID1A;9.11E-05;x
3307;PNKP;9.11E-05;#N/A
3308;CCL19;9.11E-05;#N/A
3309;PRSS12;9.11E-05;#N/A
3310;H2BC3;9.11E-05;#N/A
3311;WDR24;9.11E-05;#N/A
3312;DIABLO;9.10E-05;#N/A
3313;ELL3;9.10E-05;#N/A
3314;PES1;9.09E-05;#N/A
3315;NINL;9.09E-05;#N/A
3316;ATXN7;9.09E-05;x
3317;PAK4;9.09E-05;#N/A
3318;TFCP2;9.09E-05;#N/A
3319;TUBB1;9.08E-05;#N/A
3320;MBD3L1;9.08E-05;#N/A
3321;POLR3F;9.08E-05;#N/A
3322;LGALS12;9.08E-05;#N/A
3323;CLNS1A;9.08E-05;#N/A
3324;RECQL5;9.08E-05;#N/A
3325;NAP1L5;9.07E-05;#N/A
3326;ETV6;9.07E-05;x
3327;STN1;9.07E-05;#N/A
3328;RPL12;9.07E-05;#N/A
3329;MORC3;9.07E-05;#N/A
3330;SLC1A5;9.06E-05;#N/A
3331;CDC25A;9.06E-05;#N/A
3332;CYCS;9.06E-05;#N/A
3333;ZNF638;9.06E-05;#N/A
3334;CCKBR;9.06E-05;#N/A
3335;DCUN1D5;9.06E-05;#N/A
3336;HMOX2;9.05E-05;#N/A
3337;GRB10;9.05E-05;#N/A
3338;ZNF526;9.05E-05;#N/A
3339;MAP1S;9.05E-05;#N/A
3340;RNF166;9.05E-05;#N/A
3341;SLC3A2;9.04E-05;#N/A
3342;DNAJC11;9.04E-05;#N/A
3343;MT-CO1;9.03E-05;#N/A
3344;ATP6V0D1;9.03E-05;#N/A
3345;RIMBP2;9.03E-05;#N/A
3346;FBXO5;9.03E-05;#N/A
3347;RPL19;9.03E-05;#N/A
3348;PQBP1;9.03E-05;#N/A
3349;LRP8;9.03E-05;#N/A
3350;MRPS5;9.03E-05;#N/A
3351;MBD1;9.02E-05;#N/A
3352;MT-ND5;9.02E-05;#N/A
3353;AHCYL2;9.02E-05;#N/A
3354;ACY3;9.01E-05;#N/A
3355;POLR1E;9.01E-05;#N/A
3356;VPS4A;9.01E-05;#N/A
3357;APOA2;9.01E-05;#N/A
3358;BEGAIN;9.01E-05;#N/A
3359;ARID4B;9.00E-05;x
3360;INPP5D;9.00E-05;#N/A
3361;CYFIP1;9.00E-05;#N/A
3362;TPR;9.00E-05;#N/A
3363;RAD17;9.00E-05;x
3364;MAOB;8.99E-05;#N/A
3365;LIMS1;8.99E-05;#N/A
3366;RPL36A;8.99E-05;#N/A
3367;UQCRC1;8.98E-05;#N/A
3368;ITGA6;8.98E-05;#N/A
3369;TRIM24;8.98E-05;#N/A
3370;SPC25;8.98E-05;#N/A
3371;SLC7A7;8.98E-05;#N/A
3372;DNAJB4;8.97E-05;#N/A
3373;SCFD1;8.97E-05;#N/A
3374;MYO5B;8.97E-05;#N/A
3375;RRAGB;8.96E-05;#N/A
3376;COPS7B;8.96E-05;#N/A
3377;ELMO1;8.95E-05;#N/A
3378;ACVR1;8.95E-05;x
3379;TRAPPC3;8.95E-05;#N/A
3380;CD7;8.95E-05;#N/A
3381;RBM45;8.95E-05;#N/A
3382;GANAB;8.95E-05;#N/A
3383;HOMER3;8.94E-05;#N/A
3384;POLR3A;8.94E-05;#N/A
3385;CSTA;8.94E-05;#N/A
3386;NEMF;8.93E-05;#N/A
3387;DNAJB6;8.93E-05;#N/A
3388;PIM1;8.93E-05;#N/A
3389;ZNF446;8.93E-05;#N/A
3390;SYTL5;8.93E-05;#N/A
3391;PCOLCE;8.93E-05;#N/A
3392;SLC25A11;8.93E-05;#N/A
3393;DAPK3;8.92E-05;#N/A
3394;CSE1L;8.92E-05;#N/A
3395;RNF123;8.92E-05;#N/A
3396;FZD5;8.91E-05;#N/A
3397;CLDND1;8.91E-05;#N/A
3398;RASSF2;8.91E-05;#N/A
3399;HGFAC;8.91E-05;#N/A
3400;NDUFV3;8.90E-05;#N/A
3401;GPR35;8.90E-05;#N/A
3402;LARP4;8.90E-05;#N/A
3403;FOXO4;8.89E-05;#N/A
3404;FGF4;8.89E-05;x
3405;GDI2;8.89E-05;#N/A
3406;RAB9B;8.88E-05;#N/A
3407;MAGED2;8.88E-05;#N/A
3408;DNAH9;8.88E-05;#N/A
3409;GZMA;8.88E-05;#N/A
3410;MED31;8.88E-05;#N/A
3411;PXDN;8.87E-05;#N/A
3412;ALOX12B;8.87E-05;x
3413;ARL3;8.87E-05;#N/A
3414;CHAMP1;8.87E-05;#N/A
3415;OXSR1;8.87E-05;#N/A
3416;AKAP13;8.87E-05;#N/A
3417;WNT4;8.86E-05;#N/A
3418;MPHOSPH9;8.86E-05;#N/A
3419;ZBTB17;8.86E-05;#N/A
3420;ACSL4;8.86E-05;#N/A
3421;IRF7;8.86E-05;#N/A
3422;TBC1D32;8.86E-05;#N/A
3423;ABL2;8.86E-05;x
3424;PBX2;8.86E-05;#N/A
3425;SH2B3;8.85E-05;x
3426;AUTS2;8.85E-05;#N/A
3427;S100B;8.84E-05;#N/A
3428;SSB;8.84E-05;#N/A
3429;PPP1R13B;8.84E-05;#N/A
3430;TM2D3;8.84E-05;#N/A
3431;EPN3;8.84E-05;#N/A
3432;OPRM1;8.84E-05;#N/A
3433;CASC3;8.84E-05;#N/A
3434;SAFB;8.83E-05;#N/A
3435;S100A8;8.83E-05;#N/A
3436;CCT6B;8.83E-05;#N/A
3437;GAB2;8.83E-05;x
3438;AFG3L2;8.82E-05;#N/A
3439;FHL5;8.82E-05;#N/A
3440;TALDO1;8.82E-05;#N/A
3441;USP3;8.82E-05;#N/A
3442;CACYBP;8.82E-05;#N/A
3443;WDFY2;8.81E-05;#N/A
3444;CNTNAP3;8.81E-05;#N/A
3445;TRIP10;8.81E-05;#N/A
3446;NOP58;8.81E-05;#N/A
3447;TAF8;8.80E-05;#N/A
3448;DDX24;8.80E-05;#N/A
3449;HECW2;8.80E-05;#N/A
3450;KRT32;8.80E-05;#N/A
3451;STRN4;8.80E-05;#N/A
3452;CORO1C;8.80E-05;#N/A
3453;FBLN5;8.79E-05;#N/A
3454;NSMAF;8.79E-05;#N/A
3455;TCP10L;8.79E-05;#N/A
3456;IRF2;8.79E-05;x
3457;PTPN3;8.78E-05;#N/A
3458;EDRF1;8.78E-05;#N/A
3459;TXNDC11;8.78E-05;#N/A
3460;NR5A2;8.78E-05;#N/A
3461;RPS21;8.78E-05;#N/A
3462;CCL25;8.78E-05;#N/A
3463;NPLOC4;8.78E-05;#N/A
3464;RNF13;8.78E-05;#N/A
3465;PDZRN4;8.78E-05;#N/A
3466;BAG5;8.78E-05;#N/A
3467;POLRMT;8.78E-05;#N/A
3468;NDUFAF4;8.77E-05;#N/A
3469;MAP2K3;8.77E-05;#N/A
3470;LRP5;8.77E-05;x
3471;DSC2;8.77E-05;#N/A
3472;MYO1B;8.77E-05;#N/A
3473;RPP25;8.77E-05;#N/A
3474;NUP43;8.77E-05;#N/A
3475;PTTG1;8.77E-05;#N/A
3476;CKB;8.75E-05;#N/A
3477;EIF3L;8.75E-05;#N/A
3478;SMAD6;8.75E-05;#N/A
3479;ARFGEF1;8.75E-05;#N/A
3480;BCL10;8.75E-05;x
3481;SP3;8.75E-05;#N/A
3482;NME7;8.74E-05;#N/A
3483;HACE1;8.74E-05;#N/A
3484;PHKG1;8.74E-05;#N/A
3485;WNK1;8.74E-05;#N/A
3486;MYBL2;8.74E-05;#N/A
3487;MRPL3;8.73E-05;#N/A
