No.;Gene name;Score;Oncogene or Tumor Suppresson gene
392;GTF2I;0.000379432;x
393;ZFP41;0.000379321;#N/A
394;NR4A1;0.000378633;#N/A
395;SKP2;0.000378556;#N/A
396;ITGB3;0.000377895;#N/A
397;SMARCC1;0.000376858;#N/A
398;MEF2A;0.000376502;#N/A
399;CDC20;0.000375993;#N/A
400;STAG2;0.000374883;x
401;FOXS1;0.000374306;#N/A
402;ANAPC1;0.000373906;#N/A
403;CBX8;0.000372344;#N/A
404;CBX4;0.000371078;#N/A
405;BARD1;0.000370969;x
406;CTNND1;0.000369517;#N/A
407;STAG1;0.000368898;x
408;SLC25A6;0.000368601;#N/A
409;ERBB4;0.000368222;x
410;PAK1;0.00036787;x
411;ANLN;0.000366721;#N/A
412;CHD8;0.000366029;#N/A
413;MDFI;0.000365878;#N/A
414;PTEN;0.000365513;x
415;AGO2;0.000362437;#N/A
416;MAP3K3;0.000362238;#N/A
417;HUWE1;0.000361952;#N/A
418;FOXO1;0.000361678;x
419;RAD21;0.000360802;x
420;CCNB1;0.000359238;#N/A
421;CENPA;0.000359044;#N/A
422;EPHA3;0.000358831;x
423;MEPE;0.000357886;#N/A
424;MTA2;0.000355577;#N/A
425;PSMD3;0.000354976;#N/A
426;PSME3;0.00035432;#N/A
427;MKLN1;0.000353971;#N/A
428;WRN;0.00035295;x
429;DVL2;0.000352797;#N/A
430;FOXE1;0.000352454;#N/A
431;TINF2;0.000352;#N/A
432;ACTL6A;0.000351419;#N/A
433;KDM3B;0.000350907;#N/A
434;BUB1B;0.000350651;x
435;YME1L1;0.000349656;#N/A
436;EIF4G2;0.000349644;#N/A
437;PDGFRA;0.000348513;x
438;GIT1;0.000348474;#N/A
439;SCYL2;0.000348448;#N/A
440;PSMD2;0.000348304;#N/A
441;CCNT1;0.000348015;#N/A
442;PXN;0.00034778;#N/A
443;BAD;0.000347753;#N/A
444;SCRIB;0.000346508;#N/A
445;IGF2BP1;0.000346045;#N/A
