No.;Gene name;Score;Oncogene or Tumor Suppresson gene
666;MEIS1;0.000278988;#N/A
667;TRIM33;0.000278748;#N/A
668;SRSF1;0.000278458;#N/A
669;PIWIL4;0.000278351;#N/A
670;CNOT7;0.000278039;#N/A
671;HMGA1;0.000277326;x
672;MYCN;0.000277046;x
673;P2RY8;0.000276967;x
674;ZBTB33;0.000276378;#N/A
675;PMS2;0.000276366;x
676;CCT6A;0.000276029;#N/A
677;STAT4;0.000275873;x
678;FOXM1;0.000275819;#N/A
679;USP1;0.000275702;x
680;EXOSC2;0.000275471;#N/A
681;TYK2;0.00027518;x
682;ARNT;0.000275114;#N/A
683;DDIT3;0.000274824;#N/A
684;METTL1;0.000274556;#N/A
685;RECQL4;0.000274433;x
686;MYB;0.000274397;x
687;MYO1C;0.00027356;#N/A
688;FAAP100;0.000273534;#N/A
689;ACD;0.000272958;#N/A
690;STRN;0.000272737;#N/A
691;FASLG;0.000272054;#N/A
692;PIK3CG;0.00027197;x
693;PSEN1;0.000271225;#N/A
694;CDK8;0.000270869;x
695;UBR4;0.000270786;#N/A
696;DTL;0.000270548;#N/A
697;MYD88;0.000270178;x
698;BCAR1;0.000270114;#N/A
699;ABCF3;0.000270003;#N/A
700;HGF;0.000269998;x
701;CCDC85B;0.000269329;#N/A
702;FGF19;0.000269281;x
703;TRIM59;0.000269229;#N/A
704;MAGED1;0.000269007;#N/A
705;WDR48;0.000268548;#N/A
706;PSMC6;0.000268454;#N/A
707;PTGES3;0.000268236;#N/A
708;VAPB;0.00026763;#N/A
709;TNF;0.000267503;#N/A
710;MBD3;0.000266483;#N/A
711;RFC5;0.00026639;#N/A
712;POLR2C;0.000265013;#N/A
713;FOXH1;0.000264593;#N/A
714;SALL4;0.000264435;#N/A
715;MYO19;0.00026414;#N/A
716;MAPK10;0.000263999;#N/A
717;FZD5;0.000263947;#N/A
718;VAPA;0.000263864;#N/A
719;MDM4;0.000263344;x
720;PSMC4;0.000262744;#N/A
721;ELOC;0.000262505;#N/A
722;ZSCAN20;0.000262469;#N/A
723;MED26;0.000262323;#N/A
724;FOXA2;0.000262155;#N/A
725;THOC2;0.000262103;#N/A
726;NFE2;0.000262033;x
727;ERCC2;0.000261535;x
728;DNAJB1;0.000261485;#N/A
729;SLX4;0.00026145;x
730;CHD8;0.000261069;#N/A
731;FOXL2;0.000260958;x
732;PAX8;0.000260728;x
733;DDX3X;0.000260672;x
734;MAGEA10;0.000260612;#N/A
735;HDAC7;0.000260316;x
736;AGO4;0.000260235;#N/A
737;POLR2E;0.000259761;#N/A
738;KNSTRN;0.000259757;#N/A
739;MCM8;0.0002597;#N/A
740;BAX;0.000259696;#N/A
741;POLG;0.00025928;#N/A
742;CITED1;0.000259111;#N/A
743;EIF4A3;0.000258742;#N/A
744;CLTA;0.000258482;#N/A
745;PSMD3;0.000258377;#N/A
746;PRKCD;0.00025834;#N/A
747;ATP5PD;0.000258282;#N/A
748;AGO1;0.000258235;x
749;TNFRSF10B;0.000258135;#N/A
750;CTBP2;0.000258086;#N/A
751;SS18;0.000257651;x
752;NRAS;0.000257598;x
753;PPP2R5D;0.000257502;#N/A
754;RANBP9;0.000257278;#N/A
755;VPS72;0.000256997;#N/A
756;FBL;0.000256962;#N/A
757;DKC1;0.000256922;#N/A
758;RIPK1;0.000256873;#N/A
759;HNRNPD;0.0002567;#N/A
760;XRCC5;0.000256366;#N/A
761;ACVR1;0.000256332;x
762;ZC3H3;0.000255891;#N/A
763;CDH9;0.000255702;#N/A
764;EMD;0.000255483;#N/A
765;CHERP;0.000255482;#N/A
766;STAG1;0.000255425;x
767;SCRIB;0.000255422;#N/A
768;DCAF4L2;0.000255313;#N/A
769;TRIM24;0.000255106;#N/A
770;PRMT5;0.000254394;#N/A
771;ETS1;0.000253575;x
772;GTF2F1;0.000253423;#N/A
773;TTK;0.000253052;#N/A
774;HOXD10;0.000252854;#N/A
775;TEAD2;0.00025279;#N/A
776;TROAP;0.000252699;#N/A
777;MSI1;0.000252554;x
778;NR4A1;0.000252134;#N/A
779;SUV39H2;0.000251786;#N/A
780;COASY;0.000251756;#N/A
781;CDC23;0.000251699;#N/A
782;HNRNPK;0.000251218;#N/A
783;XRCC6;0.000250853;#N/A
784;UBB;0.000250582;#N/A
785;SPINT2;0.000250408;#N/A
786;GAPDH;0.000250296;#N/A
787;XRCC1;0.000250097;x
788;PRKCI;0.000249956;x
789;RFC3;0.0002498;#N/A
790;CYLD;0.000249779;x
791;NTRK2;0.000249583;x
792;PRMT6;0.000249081;#N/A
793;GNB2;0.000249049;#N/A
794;GATAD2B;0.000248936;#N/A
