No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3341;NDUFB11;8.32E-05;#N/A
3342;SEMA4G;8.31E-05;#N/A
3343;TGFB2;8.31E-05;#N/A
3344;CSF2;8.30E-05;#N/A
3345;BOC;8.30E-05;#N/A
3346;ORM1;8.30E-05;#N/A
3347;DLD;8.30E-05;#N/A
3348;PNN;8.30E-05;#N/A
3349;DNAJA2;8.30E-05;#N/A
3350;DYNC1LI2;8.29E-05;#N/A
3351;MRS2;8.29E-05;#N/A
3352;TDRKH;8.29E-05;#N/A
3353;SKIL;8.29E-05;#N/A
3354;HES6;8.28E-05;#N/A
3355;FGF12;8.27E-05;#N/A
3356;CHRD;8.27E-05;#N/A
3357;COL10A1;8.26E-05;#N/A
3358;NCF2;8.26E-05;#N/A
3359;TCP11L2;8.26E-05;#N/A
3360;ARX;8.26E-05;#N/A
3361;MIOS;8.25E-05;#N/A
3362;PJA2;8.25E-05;#N/A
3363;GP1BA;8.25E-05;#N/A
3364;SNRPB;8.25E-05;#N/A
3365;PHF20L1;8.25E-05;#N/A
3366;LEP;8.25E-05;#N/A
3367;NTM;8.24E-05;#N/A
3368;CRH;8.24E-05;#N/A
3369;PIP5K1C;8.24E-05;#N/A
3370;ACVR2A;8.23E-05;x
3371;ANAPC11;8.23E-05;#N/A
3372;MAD1L1;8.23E-05;#N/A
3373;SPC25;8.23E-05;#N/A
3374;PIK3AP1;8.22E-05;#N/A
3375;RPL30;8.22E-05;#N/A
3376;EXOSC1;8.22E-05;#N/A
3377;UBE2E1;8.22E-05;#N/A
3378;NFIX;8.22E-05;#N/A
3379;CARTPT;8.22E-05;#N/A
3380;PPP3CB;8.21E-05;#N/A
3381;CSPP1;8.21E-05;#N/A
3382;CALCOCO2;8.21E-05;#N/A
3383;RAB28;8.20E-05;#N/A
3384;LY86;8.19E-05;#N/A
3385;NLRC3;8.19E-05;#N/A
3386;IRF7;8.19E-05;#N/A
3387;TFAP2C;8.19E-05;#N/A
3388;LGALS14;8.18E-05;#N/A
3389;SART1;8.18E-05;#N/A
3390;FYCO1;8.18E-05;#N/A
3391;FGR;8.18E-05;#N/A
3392;RPL29;8.17E-05;#N/A
3393;CD1B;8.16E-05;#N/A
3394;PRPF3;8.16E-05;#N/A
3395;NSUN2;8.16E-05;#N/A
3396;MED30;8.16E-05;#N/A
3397;VDAC1;8.16E-05;#N/A
3398;MUC7;8.16E-05;#N/A
3399;SDHAF2;8.16E-05;x
3400;SNRNP200;8.15E-05;#N/A
3401;UBXN1;8.15E-05;#N/A
3402;S100A3;8.15E-05;#N/A
3403;KCNAB2;8.15E-05;#N/A
3404;SHD;8.15E-05;#N/A
3405;SYN1;8.15E-05;#N/A
3406;FLOT1;8.15E-05;#N/A
3407;STX3;8.14E-05;#N/A
3408;TMEM185A;8.14E-05;#N/A
3409;CDC6;8.14E-05;#N/A
3410;TIGIT;8.14E-05;#N/A
3411;FOXN1;8.13E-05;#N/A
3412;B4GALT1;8.13E-05;#N/A
3413;NEUROG3;8.13E-05;#N/A
3414;SEC23IP;8.12E-05;#N/A
3415;STX7;8.11E-05;#N/A
3416;WIPI2;8.11E-05;#N/A
3417;MAP3K11;8.11E-05;#N/A
3418;HMG20B;8.11E-05;#N/A
3419;WRAP73;8.11E-05;#N/A
3420;RLIM;8.11E-05;#N/A
3421;NDUFS4;8.10E-05;#N/A
3422;SRRM2;8.10E-05;#N/A
3423;RASSF5;8.10E-05;#N/A
3424;TBCCD1;8.10E-05;#N/A
3425;ASPH;8.10E-05;#N/A
3426;UHMK1;8.09E-05;#N/A
3427;DSG1;8.09E-05;#N/A
3428;KRT77;8.09E-05;#N/A
3429;NR4A3;8.09E-05;x
3430;COX4I1;8.09E-05;#N/A
3431;BMX;8.09E-05;#N/A
3432;GORAB;8.09E-05;#N/A
3433;SIGLEC11;8.09E-05;#N/A
3434;ING3;8.09E-05;#N/A
3435;STX1B;8.09E-05;#N/A
3436;TNFRSF18;8.08E-05;#N/A
3437;TAF13;8.07E-05;#N/A
3438;CREB3L1;8.07E-05;#N/A
3439;COMTD1;8.07E-05;#N/A
3440;ZC3H18;8.06E-05;#N/A
3441;NCBP2;8.06E-05;#N/A
3442;TRPC4AP;8.06E-05;#N/A
3443;ITGA6;8.06E-05;#N/A
