No.;Gene name;Oncogene or Tumor Suppresson gene
;TRIM16;#N/A
;PTPRT;x
;FKTN;#N/A
;DDR1;#N/A
;CDCA7L;#N/A
;TNNI2;#N/A
;NPAS3;#N/A
;LALBA;#N/A
;ASB2;#N/A
;CDKL2;#N/A
;DHRS2;#N/A
;DRG2;#N/A
;LRRC39;#N/A
;NACC2;#N/A
;FGF14;x
;HUNK;#N/A
;SERGEF;#N/A
;NDUFA7;#N/A
;HIVEP3;#N/A
;PLAA;#N/A
;RAI1;#N/A
;PID1;#N/A
;CDC42SE1;#N/A
;UTP20;#N/A
;TRHDE;#N/A
;OLFM1;#N/A
;CABP2;#N/A
;TBX6;#N/A
;TNFSF12;#N/A
;LIMCH1;#N/A
;CASZ1;#N/A
;RAB27A;#N/A
;BEX5;#N/A
;DNAJC2;#N/A
;TSSK2;#N/A
;PADI4;#N/A
;CCL18;#N/A
;ZBTB1;#N/A
;CRP;#N/A
;OSR1;#N/A
;ATP6V1C1;#N/A
;RASSF4;#N/A
;ATMIN;#N/A
;SERTAD3;#N/A
;ZBTB7B;#N/A
;ATRN;#N/A
;AKAP17A;#N/A
;FAM110C;#N/A
;CLIC2;#N/A
;PDX1;#N/A
;INPP4A;#N/A
;NEK8;#N/A
;KDM5D;x
;TOM1L2;#N/A
;CHRAC1;#N/A
;FANK1;#N/A
;HTATIP2;x
;TBX2;#N/A
;ITPK1;#N/A
;KDM4D;#N/A
;UBAP2;#N/A
;PITPNC1;#N/A
;STAC;#N/A
;ELF4;x
;SULT2B1;#N/A
;EHF;#N/A
;CDH13;#N/A
;ANXA4;#N/A
;CCL14;#N/A
;NTN4;#N/A
;CAPN3;#N/A
;KLF10;#N/A
;PRDM16;#N/A
;DDAH1;#N/A
;GLRB;#N/A
;ADARB1;#N/A
;NFAM1;#N/A
;POU3F2;x
;SPSB4;#N/A
;LBH;#N/A
;LRRC40;#N/A
;GLIS2;#N/A
;AIF1;#N/A
;DIS3L2;#N/A
;PITHD1;#N/A
;NRXN2;#N/A
;GCM1;#N/A
;IL19;#N/A
;LRP3;#N/A
;TRPM4;#N/A
;VSTM2A;#N/A
;NAA16;#N/A
;ADAM19;#N/A
;GCGR;#N/A
;HOXC10;#N/A
;GABRB2;#N/A
;RFPL4A;#N/A
;ACTN1;#N/A
;NEUROG3;#N/A
;NLRP12;#N/A
;GABRR1;#N/A
;GABRR2;#N/A
;CASS4;#N/A
;BEX2;#N/A
;CNGA3;#N/A
;GPR173;#N/A
;ZNF503;#N/A
;PTK7;#N/A
;NDRG3;#N/A
;ASIC1;#N/A
;SPEG;#N/A
;NTNG2;#N/A
;ALX1;#N/A
;NBL1;#N/A
;GABRD;#N/A
;CD70;x
;FXN;#N/A
;MEGF8;#N/A
;EPCAM;x
;TBC1D8;#N/A
;PEX11A;#N/A
;PEX11B;#N/A
;FAM83F;#N/A
;PTGES;#N/A
;PUSL1;#N/A
;NCSTN;x
;ATP6V0D1;#N/A
;SLC16A3;#N/A
;SMC1A;x
;VCP;#N/A
;CRYAB;#N/A
;TUBA4A;#N/A
;RAD21;x
;SUPT5H;#N/A
;BRD1;#N/A
;BECN1;#N/A
;MMP1;#N/A
;GLG1;#N/A
;TTLL12;#N/A
;ATP6V1B2;x
;WASF3;#N/A
;GTF2A2;#N/A
;SORBS1;#N/A
;HSPA1L;#N/A
;TPR;#N/A
;ATP6V1E1;#N/A
;MCM7;#N/A
;THBS4;#N/A
;NCF4;#N/A
;DBN1;#N/A
;LRPPRC;#N/A
;CPSF3;#N/A
;HOXB13;x
;C7orf50;#N/A
;CNKSR1;#N/A
;THRB;#N/A
;DYNLL1;#N/A
;MSH3;x
;ITGB4;#N/A
;PRKAR2B;#N/A
;OPRD1;#N/A
;MSH6;x
;PTGER4;#N/A
;ATP6V1D;#N/A
;FGB;#N/A
;HNRNPM;#N/A
;ANAPC15;#N/A
;PCK1;#N/A
;MAST2;#N/A
;SORT1;#N/A
;CTDP1;#N/A
;RGL2;#N/A
;ATP6V1A;#N/A
;TAF10;#N/A
;RANBP2;x
;COL9A3;#N/A
;SMURF1;#N/A
;COL9A2;#N/A
;S1PR1;#N/A
;FGG;#N/A
;SSRP1;#N/A
;CCR1;#N/A
;NCBP2;#N/A
;SKIL;#N/A
;CARD11;x
;BCL2A1;#N/A
;ATP6V1G1;#N/A
;SMAD7;#N/A
;TAF5;#N/A
;IFNGR2;#N/A
;PPIL1;#N/A
;ITGA11;#N/A
;CNKSR2;#N/A
;PDK1;x
;OLFM4;#N/A
;KCTD6;#N/A
;GPAM;#N/A
;MT-CO1;#N/A
;ZNF579;#N/A
;KPNB1;#N/A
;LILRA4;#N/A
;ITGA7;#N/A
;HSPA2;#N/A
;SYNCRIP;#N/A
;GTF3C3;#N/A
;WDR54;#N/A
;MMP7;#N/A
;EVPL;#N/A
;GABARAPL2;#N/A
;TAF11;#N/A
;CD44;#N/A
;CASP7;#N/A
;PGP;#N/A
;CNOT2;#N/A
;RRM2B;#N/A
;EIF2S1;#N/A
;TNKS2;#N/A
;PARD6A;#N/A
;ATP6V1E2;#N/A
;IVL;#N/A
;DEPDC1;#N/A
;PCGF5;#N/A
;ATP6V1G2;#N/A
;NELFCD;#N/A
;MDFI;#N/A
;GTF2H4;#N/A
;WAS;#N/A
;UNC119;#N/A
;GPS2;x
;CUL2;#N/A
;DEDD;#N/A
;JMJD4;#N/A
;KANK1;#N/A
;CENPH;#N/A
;ATP6V1F;#N/A
;CENPJ;#N/A
;SNX24;#N/A
;TAF6;#N/A
;KNG1;#N/A
;CAT;#N/A
;PDHB;#N/A
;APOBEC3B;#N/A
;SNRPD1;#N/A
;CORO1A;#N/A
;FOXB1;#N/A
;CD14;#N/A
;PCGF2;#N/A
;TNKS;#N/A
;CSNK1A1L;#N/A
;RRP36;#N/A
;ITGA10;#N/A
;ITGA9;#N/A
;TNR;#N/A
;THEG;#N/A
;MEAF6;#N/A
;TNC;#N/A
;COL3A1;#N/A
;TOR3A;#N/A
;PTPN3;#N/A
;SLC25A6;#N/A
;ENSA;#N/A
;TFAP2C;#N/A
;TNN;#N/A
;TNXB;#N/A
;CST1;#N/A
;PIK3R6;#N/A
;TUBA1A;#N/A
;PPP1R12A;#N/A
;GTF2H2;#N/A
;CNOT1;#N/A
;AP2B1;#N/A
;FCER1G;#N/A
;COX5A;#N/A
;UBE3A;#N/A
;LETM1;#N/A
;AP2A1;#N/A
;KIDINS220;#N/A
;CCNK;#N/A
;GTF2H3;#N/A
;TAF12;#N/A
;PARD3;#N/A
;MFSD3;#N/A
;CLN6;#N/A
;ID3;x
;COX4I1;#N/A
;ISOC2;#N/A
;ABCG2;#N/A
;ERLIN2;#N/A
;TAF7;#N/A
;ACTR2;#N/A
;ETV6;x
;CCNT2;#N/A
;GOLGA7;#N/A
;EIF4B;#N/A
;PAICS;#N/A
;TNFAIP3;x
;PRKAR2A;#N/A
;MT-CO2;#N/A
;RGL1;#N/A
;USP9X;#N/A
;FNTA;#N/A
;DUSP2;#N/A
;MYO1C;#N/A
;NDUFA4;#N/A
;DUSP3;#N/A
;SLC25A4;#N/A
;GLP1R;#N/A
;FANCC;x
;CAPN2;#N/A
;COX5B;#N/A
;COX14;#N/A
;PPP1R12B;#N/A
;FBXO46;#N/A
;IER3;#N/A
;CUL5;#N/A
;SMURF2;#N/A
;SLC47A1;#N/A
;MT-CO3;#N/A
;TCEAL4;#N/A
;PPP1R13L;#N/A
;ZMYM2;#N/A
;CLTA;#N/A
;SCO1;#N/A
;GCK;#N/A
;MAGOH;#N/A
;NLRC4;#N/A
;HK1;#N/A
;LYPLA1;#N/A
;PRDX2;#N/A
;DCP1A;#N/A
;FOXL1;#N/A
;PDHA1;#N/A
;STARD3;#N/A
;TIGAR;x
;G6PD;#N/A
;RAB7A;#N/A
;KIF5B;#N/A
;HSD17B7;#N/A
;PCGF6;#N/A
;BDKRB2;#N/A
;COX6A1;#N/A
;RIF1;#N/A
;TP53AIP1;#N/A
;GTF2H5;#N/A
;COX7A2L;#N/A
;NELFA;#N/A
;PPP1R13B;#N/A
;NUP98;x
;NOC2L;#N/A
;RCOR1;#N/A
;BAIAP2L1;#N/A
;LPCAT1;#N/A
;TAF9B;#N/A
;LRP2BP;#N/A
;PRELID1;#N/A
;STEAP3;#N/A
;NELFE;#N/A
;FRAS1;#N/A
;SFPQ;#N/A
;DISC1;#N/A
;POT1;x
;RUSC1;#N/A
;PPP1R35;#N/A
;MAD1L1;#N/A
;AP2A2;#N/A
;PDE6D;#N/A
;TAF9;#N/A
;AGTR1;#N/A
;VDAC2;#N/A
;APH1B;#N/A
;EGLN1;#N/A
;VDAC1;#N/A
;ABCA1;#N/A
;CYP1A1;#N/A
;PDCD7;#N/A
;ELAVL2;#N/A
;TFF1;#N/A
;TCEA1;#N/A
;EDNRB;#N/A
;MAP7;#N/A
;ZDHHC17;#N/A
;NUP153;#N/A
;IHH;#N/A
;INPPL1;x
;E2F8;#N/A
;ELOA2;#N/A
;ERCC2;x
;ZNF707;#N/A
;KHDRBS1;#N/A
;PPP1R12C;#N/A
;ATP6V0A1;#N/A
;TAF3;#N/A
;NUAK1;#N/A
;BRPF3;#N/A
;WASL;#N/A
;CPSF6;#N/A
;UBR4;#N/A
;HK2;#N/A
;EPHA7;x
;MRPL3;#N/A
;TAF4B;#N/A
;SMAD9;#N/A
;ATP6V0A2;#N/A
;ERCC3;x
;TEC;#N/A
;LYG2;#N/A
;SETD1A;x
;SGK2;#N/A
;CALCRL;#N/A
;SUPT4H1;#N/A
;FGFR1OP2;#N/A
;WWP2;#N/A
;DYRK2;#N/A
;MYH13;#N/A
;TTC5;#N/A
;FLRT3;#N/A
;MNAT1;#N/A
;PDHA2;#N/A
;PRKAR1B;#N/A
;NUP43;#N/A
;PPID;#N/A
;NUP93;#N/A
;DICER1;x
;SEC16A;#N/A
;BCL2L14;#N/A
;VAPB;#N/A
;TMEM219;#N/A
;MIB1;#N/A
;LRP4;#N/A
;ACTN4;#N/A
;PTGER2;#N/A
;MRPL14;#N/A
;SDC2;#N/A
;CHM;#N/A
;CDK3;#N/A
;MSX1;#N/A
;ORMDL3;#N/A
;AUTS2;#N/A
;RGS2;#N/A
;CANX;#N/A
;CORO1B;#N/A
;TNFSF11;#N/A
;ATG5;#N/A
;LRIG1;#N/A
;BIRC6;#N/A
;PPM1B;#N/A
;PPP2R3C;#N/A
;CTSV;#N/A
;CTSK;#N/A
;HK3;#N/A
;CSTF2T;#N/A
;ZNF212;#N/A
;MED27;#N/A
;ITGAM;#N/A
;MRPL24;#N/A
;VSIG8;#N/A
;BLNK;#N/A
;RPL10;#N/A
;RELN;#N/A
;CACNA1A;#N/A
;TBPL1;#N/A
;S1PR4;#N/A
;ATP6V0C;#N/A
;CCR8;#N/A
;NRP2;#N/A
;HNRNPH1;#N/A
;PPP2R3A;#N/A
;TICAM2;#N/A
;CCNH;#N/A
;MAP1LC3B;#N/A
;BNIP3L;#N/A
;CTNNA2;#N/A
;KIF21A;#N/A
;ARF6;#N/A
;SLC9A1;#N/A
;TLN2;#N/A
;CUX1;x
;NPPA;#N/A
;LDB1;#N/A
;DDB1;#N/A
;UBE2E1;#N/A
;NDUFV1;#N/A
;ANOS1;#N/A
;GNAT3;#N/A
;HAAO;#N/A
;TUBA3C;#N/A
;SIRT3;#N/A
;EGLN2;#N/A
;ZEB1;#N/A
;CASP4;#N/A
;JPH1;#N/A
;NR2C2;#N/A
;CAMSAP3;#N/A
;CACNA1B;#N/A
;ELL;x
;SNAPC4;#N/A
;STAT4;x
;RBFOX2;#N/A
;CNOT3;#N/A
;MCOLN2;#N/A
;ATF1;x
;AFF4;x
;TBPL2;#N/A
;NQO1;x
;NPY;#N/A
;ZFP1;#N/A
;NUFIP1;#N/A
;SLC25A31;#N/A
;MYL12B;#N/A
;PCK2;#N/A
;PLAT;#N/A
;SNRPD3;#N/A
;XRCC5;#N/A
;USP34;#N/A
;ZNF274;#N/A
;ATP6V0B;#N/A
;ACTR3;#N/A
;TGIF1;#N/A
;TNKS1BP1;#N/A
;CSN2;#N/A
;CCDC138;#N/A
;MC3R;#N/A
;ZNF460;#N/A
;ESYT2;#N/A
;GNAS;x
;POLH;#N/A
;CTNNA3;#N/A
;SRP68;#N/A
;CHAD;#N/A
;MEF2D;x
;RABGGTA;#N/A
;TRIM24;#N/A
;EID1;#N/A
;EID2;#N/A
;PTBP1;#N/A
;TPM4;#N/A
;TRIB1;#N/A
;CKS1B;#N/A
;BZW2;#N/A
;CR2;#N/A
;KCTD16;#N/A
;UBE2N;#N/A
;DCC;#N/A
;ARL6IP1;#N/A
;GYS1;#N/A
;DNAJC11;#N/A
;BMPR1A;x
;PRDX5;#N/A
;MYO19;#N/A
;ARL2;#N/A
;TUBA1B;#N/A
;XRCC3;#N/A
;CNOT4;#N/A
;CERCAM;#N/A
;ZFP28;#N/A
;GRM1;#N/A
;ZNF500;#N/A
;ZNF250;#N/A
;ARHGEF6;#N/A
;PRAF2;#N/A
;HLA-DPA1;#N/A
;VRK3;#N/A
;EID2B;#N/A
;FBXW7;x
;GABBR2;#N/A
;LPAR6;#N/A
;E2F6;#N/A
;FATE1;#N/A
;SREBF1;#N/A
;NDUFA9;#N/A
;LBR;#N/A
;LSG1;#N/A
;PFN2;#N/A
;SIN3B;#N/A
;NRIP1;#N/A
;STK3;#N/A
;MED20;#N/A
;BLK;#N/A
;COMMD2;#N/A
;GABBR1;#N/A
;COX11;#N/A
;STAG2;x
;ELOA;#N/A
;KCTD20;#N/A
;HMGB1;#N/A
;ACP1;#N/A
;NR4A3;x
;PTCRA;#N/A
;FKBP1A;#N/A
;GABARAP;#N/A
;ZNF688;#N/A
;SPARC;#N/A
;TRIAP1;#N/A
;LMO1;x
;SND1;#N/A
;KLK3;#N/A
;PDCD1;x
;MED6;#N/A
;TRRAP;#N/A
;REL;x
;DNAL4;#N/A
;GRK2;#N/A
;CDC40;#N/A
;CRADD;#N/A
;USP17L2;#N/A
;NAB1;#N/A
;RRAD;#N/A
;TNFRSF10C;#N/A
;IL15RA;#N/A
;TIAL1;#N/A
;MED10;#N/A
;IGF2BP1;#N/A
;PSAP;#N/A
;VASP;#N/A
;SURF1;#N/A
;ZNF420;#N/A
;PCBP4;#N/A
;ATXN3;#N/A
;GPI;#N/A
;AKAP7;#N/A
;ZDHHC9;#N/A
;CD40LG;#N/A
;TAP1;#N/A
;NAB2;#N/A
;SOD1;#N/A
;NDUFB8;#N/A
;TGIF2;#N/A
;FCER1A;#N/A
;MYLK;#N/A
;TIA1;#N/A
;FURIN;x
;CXCL2;#N/A
;RSPO3;#N/A
;MAP1LC3A;#N/A
;ANKRD44;#N/A
;GYS2;#N/A
;WDR48;#N/A
;RCE1;#N/A
;TP53I3;#N/A
;MIB2;#N/A
;LRRFIP1;#N/A
;NUP160;#N/A
;ZDHHC7;#N/A
;MS4A2;#N/A
;SETDB1;x
;ARC;#N/A
;COX16;#N/A
;TPH1;#N/A
;CNTRL;#N/A
;VGF;#N/A
;FASN;#N/A
;ZNF148;#N/A
;ARPC2;#N/A
;SLC5A7;#N/A
;NUP50;#N/A
;CASC3;#N/A
;WIPF1;#N/A
;GTF2E2;#N/A
;STOML2;#N/A
;ENAH;#N/A
;ATG7;#N/A
;MED31;#N/A
;SERPIND1;#N/A
;ARPC5;#N/A
;ATG4B;#N/A
;INSL3;#N/A
;LDLR;#N/A
;CYLD;x
;RAG1;#N/A
;ZNF770;#N/A
;ZNF562;#N/A
;GINS3;#N/A
;TTR;#N/A
;MRPL17;#N/A
;TXNDC17;#N/A
;ENDOD1;#N/A
;IL1R2;#N/A
;DDX39B;#N/A
;ARPC1A;#N/A
;ZNF140;#N/A
;IKZF1;#N/A
;KLC1;#N/A
;DGKZ;#N/A
;TSG101;#N/A
;ADRB1;#N/A
;ZFYVE9;#N/A
;TAP2;#N/A
;RBM14;#N/A
;BIN2;#N/A
;IL10RA;#N/A
;MGA;x
;BMPR1B;#N/A
;ESRRA;#N/A
;BRD2;#N/A
;LHCGR;#N/A
;MSX2;#N/A
;PTPN4;#N/A
;TIMP3;#N/A
;PTPRZ1;#N/A
;GHR;#N/A
;DHH;#N/A
;KHDRBS2;#N/A
;RLN3;#N/A
;NR0B1;#N/A
;H3-4;#N/A
;AAMP;#N/A
;MED15;#N/A
;MAF1;#N/A
;XRCC1;x
;SPINT1;#N/A
;HIF1AN;#N/A
;USP11;#N/A
;PELP1;#N/A
;TUBB;#N/A
;MED7;#N/A
;DOCK2;#N/A
;GIT1;#N/A
;CCDC124;#N/A
;SPATS2;#N/A
;DYNLL2;#N/A
;HLA-DRA;#N/A
;GPR183;#N/A
;EAF1;#N/A
;SH3KBP1;#N/A
;SETD1B;#N/A
;RAG2;#N/A
;MED8;#N/A
;THOC5;#N/A
;CRTC2;#N/A
;NR2E1;#N/A
;PRKDC;x
;TRIP11;#N/A
;NUP133;#N/A
;STAG1;x
;NCL;#N/A
;RXFP2;#N/A
;USP13;#N/A
;EMD;#N/A
;LDHA;#N/A
;HLA-DMB;#N/A
;GCG;#N/A
;NANOG;#N/A
;L3MBTL2;#N/A
;SYVN1;#N/A
;KCTD1;#N/A
;DGKH;#N/A
;NDUFS3;#N/A
;TUBB1;#N/A
;GABARAPL1;#N/A
;GFAP;#N/A
;FAF2;#N/A
;USP8;x
;ADORA2B;#N/A
;ZNF490;#N/A
;CBX1;#N/A
;SNAPC1;#N/A
;CCT2;#N/A
;ZNF510;#N/A
;MYH10;#N/A
;TUBAL3;#N/A
;KCMF1;#N/A
;AAAS;#N/A
;ADRB3;#N/A
;HLA-DQA1;#N/A
;ATG3;#N/A
;CPSF4;#N/A
;GOLT1B;#N/A
;FLOT2;#N/A
;ABCG1;#N/A
;KRT40;#N/A
;ARHGDIA;#N/A
;MRPL13;#N/A
;HTR7;#N/A
;ATG13;#N/A
;ZKSCAN4;#N/A
;SCLY;#N/A
;URB2;#N/A
;VAMP8;#N/A
;PCSK5;#N/A
;HNRNPU;#N/A
;GRIN2A;x
;SEL1L;#N/A
;DGUOK;#N/A
;MCMBP;#N/A
;BRCC3;#N/A
;FHIT;x
;OAS1;#N/A
;MAPRE1;#N/A
;OTUD3;#N/A
;CAPZA2;#N/A
;USF2;#N/A
;SRRM1;#N/A
;HSPA4;#N/A
;THOC2;#N/A
;DHX8;#N/A
;UXT;#N/A
;PRKD3;#N/A
;CPSF7;#N/A
;SEC63;#N/A
;ACOT7;#N/A
;ZNF213;#N/A
;ALDOB;#N/A
;CTR9;x
;CCT6A;#N/A
;MAP1LC3C;#N/A
;TEAD3;#N/A
;MIOS;#N/A
;MYL12A;#N/A
;SLC39A11;#N/A
;IGFLR1;#N/A
;ZNF483;#N/A
;LIG4;#N/A
;SORD;#N/A
;AMER1;x
;ABCG8;#N/A
;ABCG5;#N/A
;ZNF33A;#N/A
;LSM5;#N/A
;ELK4;x
;OFD1;#N/A
;ERLEC1;#N/A
;ZNF557;#N/A
;COPS6;#N/A
;MRPS18A;#N/A
;CCDC85B;#N/A
;NR2C1;#N/A
;ATG12;#N/A
;ZNF17;#N/A
;PDCD4;#N/A
;FHL2;#N/A
;ZNF136;#N/A
;NUP37;#N/A
;PPARGC1B;#N/A
;IQCB1;#N/A
;USHBP1;#N/A
;CCDC6;#N/A
;NDUFS6;#N/A
;EFTUD2;#N/A
;PARD6G;#N/A
;ZNF211;#N/A
;KIF7;#N/A
;ZFP14;#N/A
;MYL2;#N/A
;POM121;#N/A
;SOCS4;#N/A
;BAG6;#N/A
;HLA-DPB1;#N/A
;LNX1;#N/A
;CHD1;#N/A
;FSHR;#N/A
;ZNF350;#N/A
;ZNF282;#N/A
;PTPN18;#N/A
;INTS3;#N/A
;RNF43;x
;ZNF417;#N/A
;SERPINB13;#N/A
;RCAN1;#N/A
;ZNF324;#N/A
;PITX2;#N/A
;ZNF777;#N/A
;ZNF587;#N/A
;FYTTD1;#N/A
;TRAK1;#N/A
;ZNF689;#N/A
;SELE;#N/A
;RAB5A;#N/A
;LDHAL6B;#N/A
;SMU1;#N/A
;DPEP2;#N/A
;NR6A1;#N/A
;KREMEN1;#N/A
;BNIP3;#N/A
;PLCD1;#N/A
;HLA-DQB1;#N/A
;CTSB;#N/A
;ZNF45;#N/A
;ZNF747;#N/A
;ZNF227;#N/A
;KHDRBS3;#N/A
;ZNF443;#N/A
;BCL2L2-PABPN1;#N/A
;DOCK3;#N/A
;URI1;#N/A
;CACNA1H;#N/A
;RAPGEF5;#N/A
;ZNF230;#N/A
;ALG3;#N/A
;SYMPK;#N/A
;ZNF790;#N/A
;TINF2;#N/A
;ZNF263;#N/A
;MKRN1;#N/A
;ZNF223;#N/A
;ZNF773;#N/A
;ENO1;#N/A
;IFT57;#N/A
;ARAP1;#N/A
;ZNF678;#N/A
;ZNF419;#N/A
;ZNF627;#N/A
;ZNF585B;#N/A
;GOLGB1;#N/A
;PLA2G2A;#N/A
;GOLGA4;#N/A
;ZNF114;#N/A
;NXPH2;#N/A
;ZNF473;#N/A
;AP1G1;#N/A
;DEPTOR;#N/A
;ZNF426;#N/A
;RPL14;#N/A
;EIF4G1;#N/A
;ZNF217;x
;UVRAG;#N/A
;EEF1G;#N/A
;GH1;#N/A
;BCAP31;#N/A
;EPHX1;#N/A
;NASP;#N/A
;CLIP1;#N/A
;HLA-DRB5;#N/A
;UBQLN1;#N/A
;MEPCE;#N/A
;RHOQ;#N/A
;ZNF621;#N/A
;NEDD8;#N/A
;ZNF552;#N/A
;ZNF597;#N/A
;SLC3A2;#N/A
;H1-1;#N/A
;LUM;#N/A
;ZNF771;#N/A
;CAV3;#N/A
;ABCA6;#N/A
;ZNF317;#N/A
;POMK;#N/A
;ZNF625;#N/A
;ZNF33B;#N/A
;ZNF568;#N/A
;HLA-DOB;#N/A
;HLA-DOA;#N/A
;ZNF585A;#N/A
;ZNF264;#N/A
;ZNF324B;#N/A
;ZNF662;#N/A
;ZNF354A;#N/A
;AIP;x
;THOC1;#N/A
;TXNRD2;#N/A
;FAM91A1;#N/A
;ACACA;#N/A
;CXXC5;#N/A
;MYLK3;#N/A
;PTPN13;x
;ZNF197;#N/A
;ZNF273;#N/A
;ZNF436;#N/A
;VENTX;#N/A
;ZNF589;#N/A
;DNAAF2;#N/A
;ZNF41;#N/A
;ZNF561;#N/A
;ZNF655;#N/A
;ZNF189;#N/A
;ZKSCAN1;#N/A
;FH;x
;MXD4;#N/A
;ZNF253;#N/A
;KRBA1;#N/A
;ZNF445;#N/A
;ZNF616;#N/A
;DCST2;#N/A
;ZNF558;#N/A
;EPN1;#N/A
;TFF3;#N/A
;ZNF92;#N/A
;ZNF566;#N/A
;CORT;#N/A
;CD79A;x
;ZNF649;#N/A
;ZNF133;#N/A
;ZNF302;#N/A
;ZNF676;#N/A
;ARHGAP9;#N/A
;ZNF10;#N/A
;LSM11;#N/A
;ZNF19;#N/A
;ZNF331;#N/A
;ZNF670;#N/A
;ZNF30;#N/A
;ZNF286A;#N/A
;PLCD3;#N/A
;ZKSCAN5;#N/A
;ZNF101;#N/A
;ZNF195;#N/A
;ZNF439;#N/A
;ZNF704;#N/A
;CCT7;#N/A
;ZNF569;#N/A
;ZNF620;#N/A
;CPSF1;#N/A
;ZNF440;#N/A
;MAP1LC3B2;#N/A
;ZNF70;#N/A
;ZNF2;#N/A
;ZNF607;#N/A
;SPHK2;#N/A
;ZNF679;#N/A
;ZNF559;#N/A
;ZNF394;#N/A
;ZNF266;#N/A
;ZNF641;#N/A
;ZNF71;#N/A
;ZNF333;#N/A
;ZNF20;#N/A
;ZNF691;#N/A
;ZNF778;#N/A
;ZNF202;#N/A
;PCSK6;#N/A
;ZNF430;#N/A
;ZNF267;#N/A
;ZNF215;#N/A
;ZNF337;#N/A
;ABCB1;x
;IMPDH2;#N/A
;MYH11;x
;SGK3;#N/A
;CCNB3;x
;LDHAL6A;#N/A
;INTS6;x
;MYLK4;#N/A
;ARHGAP25;#N/A
;TRIM37;#N/A
;UBE2R2;#N/A
;MYL10;#N/A
;ZFHX4;#N/A
;CASP12;#N/A
;HOXD10;#N/A
;PPP1R3C;#N/A
;GH2;#N/A
;CYP1A2;#N/A
;LDHC;#N/A
;NME4;#N/A
;AGTRAP;#N/A
;PGK1;#N/A
;GIPR;#N/A
;RPS8;#N/A
;ABCC2;#N/A
;ATP1A1;x
;RPAP2;#N/A
;ISL1;#N/A
;RPGRIP1L;#N/A
;PARP2;#N/A
;MYO7A;#N/A
;DHRS9;#N/A
;XRCC4;#N/A
;USP53;#N/A
;THOC7;#N/A
;RPL10A;#N/A
;RNF8;#N/A
;TUBB2A;#N/A
;FCER2;#N/A
;COL10A1;#N/A
;AKAP9;#N/A
;INHBB;#N/A
;GPC1;#N/A
;GFI1B;#N/A
;DROSHA;#N/A
;RXFP4;#N/A
;DYNC1LI2;#N/A
;TRPC4;#N/A
;POU5F1;#N/A
;TRIP10;#N/A
;SYNPO;#N/A
;FANCM;x
;ARHGDIB;#N/A
;CNR1;#N/A
;ADAMTS12;#N/A
;TUBA4B;#N/A
;ERCC1;x
;FAM189A2;#N/A
;PTCH2;#N/A
;NUDT21;#N/A
;RAB4A;#N/A
;LRP1;#N/A
;IFIH1;#N/A
;DYNC1H1;#N/A
;NDUFA8;#N/A
;PMS1;x
;LY96;#N/A
;ARHGEF17;#N/A
;UBXN11;#N/A
;MATR3;#N/A
;TUBB4A;#N/A
;GNAZ;#N/A
;DNAJC13;#N/A
;SCYL2;#N/A
;LGALS8;#N/A
;SLA2;#N/A
;SNAP29;#N/A
;SRSF2;#N/A
;RPS27;#N/A
;YARS1;#N/A
;EPS15;#N/A
;ATP1B3;#N/A
;SCN2B;#N/A
;SOCS6;#N/A
;SLC1A5;#N/A
;STOM;#N/A
;SLC7A7;#N/A
;CPSF2;#N/A
;ATG16L1;#N/A
;YIPF3;#N/A
;GPHA2;#N/A
;PARP14;#N/A
;PCM1;#N/A
;LIMA1;#N/A
;CCDC88A;#N/A
;NDUFA11;#N/A
;KIF5A;#N/A
;PLEKHF1;#N/A
;TRPC5;#N/A
;VPS28;#N/A
;HGFAC;#N/A
;FSTL1;x
;GALE;#N/A
;SDC4;#N/A
;NDUFB7;#N/A
;ATP1B1;#N/A
;LIN37;#N/A
;PLIN1;#N/A
;FOXJ2;#N/A
;LIN54;#N/A
;UIMC1;#N/A
;RAPGEF4;#N/A
;ARMC1;#N/A
;IFI16;#N/A
;MUC13;#N/A
;GCC2;#N/A
;SEPTIN7;#N/A
;MSL1;#N/A
;CEP350;#N/A
;S100A8;#N/A
;PIAS1;#N/A
;ARHGEF15;#N/A
;MAPT;#N/A
;PREX1;#N/A
;EIF3E;#N/A
;PAFAH1B1;#N/A
;TYMS;#N/A
;HIPK3;#N/A
;NDUFA5;#N/A
;KRTAP4-12;#N/A
;MLLT1;#N/A
;ARHGDIG;#N/A
;TRPC1;#N/A
;DGKE;#N/A
;MBD3L1;#N/A
;IFIT1;#N/A
;MTMR4;#N/A
;SAP30L;#N/A
;SMPD2;#N/A
;U2AF1;x
;MUS81;#N/A
;TSC22D4;#N/A
;UGT2B7;#N/A
;MYH14;#N/A
;RANBP10;#N/A
;SPACA1;#N/A
;CLDN16;#N/A
;CD209;#N/A
;ATP1A2;#N/A
;FOXP1;x
;TNFRSF1B;#N/A
;BPHL;#N/A
;IDH1;x
;PHB2;#N/A
;CDON;#N/A
;DOCK4;#N/A
;ANTXR1;#N/A
;CD8B;#N/A
;PAF1;#N/A
;WIPF2;#N/A
;S1PR5;#N/A
;NDUFS7;#N/A
;NUP214;x
;ZC3H11A;#N/A
;BCL11A;#N/A
;NDUFA13;#N/A
;CLDN1;#N/A
;FARP2;#N/A
;ATP1A4;#N/A
;DGKA;#N/A
;NCKIPSD;#N/A
