No.;Gene name;Oncogene or Tumor Suppresson gene
;BIK;#N/A
;SP1;#N/A
;NKX6-1;#N/A
;KIF18A;#N/A
;CBL;x
;PHB;#N/A
;SMAD2;x
;SHC2;#N/A
;CDC73;x
;TPX2;#N/A
;RHOA;x
;CD22;#N/A
;TGFB3;#N/A
;STAG3;#N/A
;LRP5;x
;BIRC5;#N/A
;GADD45A;#N/A
;CYP3A4;#N/A
;CXCL8;#N/A
;KITLG;#N/A
;GSK3A;#N/A
;FAS;x
;PRKAA1;#N/A
;DLX4;#N/A
;WDR24;#N/A
;THBS1;#N/A
;NTRK1;x
;YWHAB;#N/A
;TUB;#N/A
;FOXO3;#N/A
;USP21;#N/A
;DAP3;#N/A
;MST1R;x
;MEIS1;#N/A
;CALCR;#N/A
;ZHX3;#N/A
;EPHB2;#N/A
;ANGPT1;#N/A
;USP7;#N/A
;SH2D2A;#N/A
;ANKRD29;#N/A
;RARA;#N/A
;ANO9;#N/A
;FRMPD4;#N/A
;PPP2R5C;#N/A
;TRAF6;#N/A
;RET;x
;CRK;#N/A
;POLA2;#N/A
;VAV1;x
;ATF4;#N/A
;NDC80;#N/A
;JAK1;x
;SHC3;#N/A
;ACTG1;x
;ZNF296;#N/A
;GAB2;x
;SESN1;x
;TSC2;x
;PRKCG;#N/A
;GNAI2;#N/A
;IFNG;#N/A
;PIAS4;#N/A
;FASLG;#N/A
;RUNX1T1;x
;CFL1;#N/A
;BMP4;#N/A
;NR5A2;#N/A
;SNAPC2;#N/A
;ERMP1;#N/A
;LCN1;#N/A
;GNB1;x
;PIWIL2;#N/A
;ASCL2;#N/A
;BYSL;#N/A
;CBLN1;#N/A
;KLHL38;#N/A
;FBXO24;#N/A
;RXRA;#N/A
;TCEAL2;#N/A
;PLAC1;#N/A
;MESP2;#N/A
;PSMD14;#N/A
;NAT2;#N/A
;RHEB;x
;MAP2K6;#N/A
;FLT4;x
;PTK2B;#N/A
;NFKBIA;x
;NRBF2;#N/A
;CASP9;#N/A
;PRKAB1;#N/A
;NRG4;#N/A
;NKX3-1;x
;FBXL16;#N/A
;RBPJ;#N/A
;PRKACG;#N/A
;SPDYA;#N/A
;CDC42;x
;APC;x
;STK11;x
;TCF7L2;x
;FOXO1;x
;TRPC6;#N/A
;MTBP;#N/A
;TAF7L;#N/A
;TIMP1;#N/A
;FGFBP1;#N/A
;SIX3;#N/A
;SPTA1;#N/A
;TCF21;#N/A
;PRKCZ;#N/A
;FLT1;x
;SRPK1;#N/A
;STAT5A;x
;PPP1R37;#N/A
;RUVBL2;#N/A
;HGS;#N/A
;CSF2;#N/A
;CDKN3;#N/A
;IGF2;x
;VEGFC;#N/A
;TRIM27;x
;BARX1;#N/A
;GP1BA;#N/A
;EPHB1;x
;RBBP4;#N/A
;CBX8;#N/A
;ID4;#N/A
;POU2F2;x
;GINS4;#N/A
;MYBL1;x
;MKI67;x
;RASL12;#N/A
;DLGAP2;#N/A
;NLGN4X;#N/A
;ARRB1;#N/A
;KBTBD8;#N/A
;YWHAZ;#N/A
;MXD3;#N/A
;SMARCA2;x
;NFATC1;#N/A
;FOXD3;#N/A
;BCL2L1;#N/A
;PRKAG1;#N/A
;CDC20;#N/A
;HSH2D;#N/A
;PPP4C;#N/A
;FAM83G;#N/A
;FRS3;#N/A
;ITGB3;#N/A
;ZHX1;#N/A
;KIF23;#N/A
;FOXS1;#N/A
;NTRK3;x
;TRIM55;#N/A
;LAMTOR2;#N/A
;DSCC1;#N/A
;SMS;#N/A
;PRKAA2;#N/A
;HSP90AB1;#N/A
;LCK;x
;PPARG;x
;SIM1;#N/A
;E2F2;#N/A
;AIM2;#N/A
;UBB;#N/A
;PGF;#N/A
;MAP2K7;#N/A
;HDAC4;x
;PHYHIP;#N/A
;SOD2;#N/A
;NUP62;#N/A
;RPS6KA1;#N/A
;CCR4;#N/A
;ILF2;#N/A
;LRRK2;#N/A
;GSTM5;#N/A
;CD86;#N/A
;SIRPG;#N/A
;GORAB;#N/A
;RPS27A;#N/A
;CCT3;#N/A
;NOS3;#N/A
;RACGAP1;#N/A
;TAX1BP1;#N/A
;PSMC5;#N/A
;PLCB1;#N/A
;DLG4;#N/A
;APP;#N/A
;RASGRP1;#N/A
;LAMC2;#N/A
;PPP3CB;#N/A
;DOK3;#N/A
;EPHA8;#N/A
;UBA52;#N/A
;CAMKK2;#N/A
;CCNI2;#N/A
;ZNF423;#N/A
;LRRC15;#N/A
;BHLHA15;#N/A
;BBC3;x
;CSNK2A1;#N/A
;CCNB1IP1;#N/A
;COPS5;#N/A
;ARRDC4;#N/A
;UNC5CL;#N/A
;SMARCC1;#N/A
;XRCC2;x
;MARCKSL1;#N/A
;SGCG;#N/A
;ELAVL1;#N/A
;NTF3;#N/A
;ANAPC16;#N/A
;AVPR1A;#N/A
;RASA1;x
;CEACAM5;#N/A
;SERINC3;#N/A
;PSMB4;#N/A
;BUB1B;x
;SMARCC2;#N/A
;PPFIA3;#N/A
;UBAP1;#N/A
;IL12RB1;#N/A
;SYK;x
;LMX1A;#N/A
;MAGEA3;#N/A
;PAX3;x
;FAM117A;#N/A
;TTLL10;#N/A
;FHOD3;#N/A
;PPP2R1B;#N/A
;PLCB3;#N/A
;SPATC1;#N/A
;ETV7;#N/A
;CCND3;x
;FAM171A2;#N/A
;NR4A1;#N/A
;MYD88;x
;GPR143;#N/A
;TRIM68;#N/A
;STAT5B;x
;CD28;x
;RGS5;#N/A
;GINS1;#N/A
;IL2;#N/A
;CALR;x
;INHBA;x
;CSDE1;#N/A
;TUBG1;#N/A
;DAXX;x
;TNFRSF9;#N/A
;BCL2L12;#N/A
;KAT5;#N/A
;PSMB5;#N/A
;STK40;#N/A
;DLG1;#N/A
;STAP2;#N/A
;PRKAB2;#N/A
;ROCK1;#N/A
;CD3G;#N/A
;CRYBB2;#N/A
;PLAUR;#N/A
;GLOD5;#N/A
;TRIM50;#N/A
;VHL;x
;QRICH2;#N/A
;CSNK2B;#N/A
;PAK4;#N/A
;MAP2K3;#N/A
;ROCK2;#N/A
;RHOG;#N/A
;PSMA4;#N/A
;BOC;#N/A
;CASP10;#N/A
